COMP ID,PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
63357,1605,2-hydroxysebacate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Neg,100020378,1324.0,217.1081,128458,103963-71-9,,HMDB00424
17945,1846,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,1239,5695.0,299.2592,69417,629-22-1,C03045,
15667,4522,2-isopropylmalate,Xenobiotics,Food Component/Plant,LC/MS Polar,100000409,2605.0,175.0612,77,3237-44-3,C02504,HMDB00402
48141,4863,2-keto-3-deoxy-gluconate,Xenobiotics,Food Component/Plant,LC/MS Polar,100005946,1900.0,177.0405,161227,17510-99-5,C00204,HMDB01353
63120,310,2-ketocaprylate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,100020833,805.0,157.087,67600,328-51-8,,HMDB13211
32506,2717,2-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,LC/MS Neg,100000987,6250.0,279.2329,5365676,3443-82-1,,HMDB11538
33161,5066,2-methoxyacetaminophen glucuronide*,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,100001795,1633.0,356.0987,14367271,,,
47031,5065,2-methoxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,100001793,1949.0,260.0234,86290014,,,
64049,4364,2-methoxyhydroquinone sulfate (1),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100021839,1505.0,218.9969,,,,
64050,4365,2-methoxyhydroquinone sulfate (2),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100021840,1619.0,218.9969,,,,
48445,5751,2-methoxyresorcinol sulfate,Xenobiotics,Chemical,LC/MS Neg,100006184,1863.0,218.9969,,1446269-78-8,,
45095,355,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,100001509,3050.0,246.17,6426901,31023-25-3,,HMDB00378
52282,1366,2-methylcitrate/homocitrate,Energy,TCA Cycle,LC/MS Neg,100008929,575.0,205.0354,,,,
53229,15,2-methylserine,Amino Acid,"Glycine, Serine and Threonine Metabolism",LC/MS Pos Early,100009246,1652.0,120.0655,94309,,C02115,
62520,5708,2-naphthol sulfate,Xenobiotics,Chemical,LC/MS Neg,100020515,3658.0,223.0071,74428,,,
63990,4149,2-O-methylascorbic acid,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,LC/MS Neg,100003258,778.0,189.0405,99779,17860-87-6,,
21232,2716,2-oleoylglycerol (18:1),Lipid,Monoacylglycerol,LC/MS Neg,100000943,6500.0,281.2486,5319879,3443-84-3,,HMDB11537
40479,4523,2-oxindole-3-acetate,Xenobiotics,Food Component/Plant,LC/MS Neg,100003109,2076.0,190.051,3080590,2971-31-5,,HMDB35514
55072,440,2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,LC/MS Pos Early,100002784,1760.0,174.0873,558,3715-10-04 00:00:00,C03771,HMDB04225
47118,2453,2-palmitoleoyl-GPC* (16:1)*,Lipid,Lysophospholipid,LC/MS Neg,100001561,5720.0,568.3256,,,,HMDB10383
35253,2451,2-palmitoyl-GPC* (16:0)*,Lipid,Lysophospholipid,LC/MS Neg,100001562,6215.0,570.3413,15061532,,,HMDB61702
43400,4405,2-piperidinone,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100004295,1675.0,100.0757,12665,675-20-7,,HMDB11749
41220,2517,2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid,LC/MS Neg,100003901,6350.0,480.3096,,,,HMDB11129
39223,2569,2-stearoyl-GPI (18:0)*,Lipid,Lysophospholipid,LC/MS Neg,100003008,5728.0,599.3202,,,,
62311,3088,21-hydroxypregnanolone monosulfate (1),Lipid,Pregnenolone Steroids,LC/MS Neg,100020547,4922.0,413.2003,,,,
46115,3087,21-hydroxypregnenolone disulfate,Lipid,Pregnenolone Steroids,LC/MS Neg,100001999,3935.0,245.0671,134595,1164-98-3,,
63109,1909,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",LC/MS Polar,100002367,1543.0,119.035,13120901,759-06-8,,HMDB00498
62950,1908,"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",LC/MS Polar,100002284,1660.0,119.035,10964471,5057-93-2,,HMDB02453
62952,1912,"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",LC/MS Polar,100001730,2204.0,119.035,,51267-44-8,,
63589,5787,"3,5-dichloro-2,6-dihydroxybenzoic acid",Xenobiotics,Chemical,LC/MS Polar,100021324,693.0,220.9414,,,,
34399,4375,"3,7-dimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001398,1418.0,195.0524,83126,13087-49-5,C16360,HMDB01982
62924,4050,3-(3-amino-3-carboxypropyl)uridine*,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,100001426,1369.0,344.1099,171198,52745-94-5,,
35635,4354,3-(3-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100001624,1980.0,165.0557,91,621-54-5,C11457,HMDB00375
45415,4351,3-(3-hydroxyphenyl)propionate sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100005391,1294.0,245.0125,187488,86321-32-6,,
32197,171,3-(4-hydroxyphenyl)lactate (HPLA),Amino Acid,Tyrosine Metabolism,LC/MS Neg,240,1379.0,181.0506,9378,6482-98-0,C03672,HMDB00755
39587,4356,3-(4-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100002914,1670.0,165.0557,10394,501-97-3,C01744,HMDB02199
34365,5067,3-(cystein-S-yl)acetaminophen*,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Pos Early,100001797,2420.0,271.0747,5233914,,,
62567,5071,3-(methylthio)acetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,100020827,2265.0,276.0006,,,,
45721,5061,3-(N-acetyl-L-cystein-S-yl) acetaminophen,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,2048,2094.0,311.0707,83967,52372-86-8,,
48693,5644,3-acetylphenol sulfate,Xenobiotics,Chemical,LC/MS Neg,100004326,2477.0,215.002,,,,
62853,438,3-amino-2-piperidone,Amino Acid,Urea cycle; Arginine and Proline Metabolism,LC/MS Pos Early,100020361,2065.0,115.0866,5200225,1892-22-4,,HMDB00323
1566,4084,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",LC/MS Pos Early,1114,2190.0,104.0706,64956,10569-72-9;214139-20-5,C05145,HMDB03911
63681,5788,"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*",Xenobiotics,Chemical,LC/MS Neg,100021707,4505.0,264.8909,,,,
61871,1603,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP),Lipid,"Fatty Acid, Dicarboxylate",LC/MS Neg,100020004,4000.0,267.1238,194501,,,
31787,1601,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty Acid, Dicarboxylate",LC/MS Neg,100001178,2800.0,239.0925,123979,86879-39-2,,HMDB61112
63361,1763,3-decenoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",LC/MS Pos Late,100021136,1045.0,314.2326,,,,
62796,4638,3-ethylcatechol sulfate (1),Xenobiotics,Food Component/Plant,LC/MS Neg,100020851,3422.0,217.0176,,,,
62797,4639,3-ethylcatechol sulfate (2),Xenobiotics,Food Component/Plant,LC/MS Neg,100020852,3555.0,217.0176,,,,
62863,4527,3-formylindole,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100020219,2736.0,146.06,10256,487-89-8,C08493,HMDB29737
32397,361,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100001170,975.0,117.0557,188979,4374-62-3,,HMDB00396
63227,5782,3-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100020975,1849.0,188.0023,,,,
531,3013,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,LC/MS Polar,112,2850.0,161.0456,1662,503-49-1,C03761,HMDB00355
62069,1564,3-hydroxyadipate*,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Polar,100004396,3131.0,161.0455,151913,,,HMDB00345
542,1817,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,LC/MS Polar,254,1480.0,103.0401,441,625-72-9,C01089,HMDB00357
62064,1722,3-hydroxybutyroylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),LC/MS Pos Early,100020211,978.0,162.0761,,,,
43470,4391,3-hydroxycotinine glucuronide,Xenobiotics,Tobacco Metabolite,LC/MS Neg,100004494,1745.0,367.1147,183115,132929-88-5,,HMDB01204
22053,1857,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100000997,4634.7,187.134,26612,5561-87-5,,HMDB02203
63358,1807,3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",LC/MS Pos Late,100021141,961.0,332.2432,,,,HMDB61636
62915,1583,3-hydroxydodecanedioate*,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Neg,100001454,2252.0,245.1394,16663321,34574-69-1,,HMDB00413
53230,1854,3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Polar,100006367,1082.0,131.0714,151492,10191-24-9,,
62557,1800,3-hydroxyhexanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",LC/MS Pos Early,100020825,2918.0,276.1806,,,,
39600,4260,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100002122,1687.0,194.0459,450268,1637-75-8,,HMDB06116
62530,4261,3-hydroxyhippurate sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100020410,1047.0,274.0027,186339,,,
1549,381,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,111,1619.0,103.0401,87,2068-83-9,C06001,HMDB00336
32457,1860,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001112,5175.0,215.1653,94216,53941-38-1,,HMDB00387
21158,1861,3-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100000882,5335.0,243.1966,16064,3422-31-9,,
22001,1855,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100000773,3446.0,159.1027,26613,88930-08-9,,HMDB01954
61843,1865,3-hydroxyoleate*,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100019966,5508.0,297.2435,,,,
61840,1809,3-hydroxyoleoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",LC/MS Pos Late,100019801,1406.0,442.3527,,,,
63236,5753,3-hydroxypyridine glucuronide,Xenobiotics,Chemical,LC/MS Neg,100020591,1080.0,270.0619,,,,
48448,5752,3-hydroxypyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100006098,1595.5,173.9867,,1955-23-3,,
31943,1859,3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Polar,100001145,2411.0,217.1081,3017884,73141-46-5,,HMDB00350
62062,4802,3-hydroxystachydrine*,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100020203,1049.0,160.0968,442640,,,
52938,1864,3-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100008933,5674.0,299.2592,5282907,45261-96-9,,
63583,4945,3-indoleglyoxylic acid,Xenobiotics,Food Component/Plant,LC/MS Neg,100020372,2140.0,188.0353,73863,1477-49-2,,
27672,291,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,LC/MS Neg,100000467,2222.2,212.0023,10258,2642-37-7,,HMDB00682
48763,4324,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100006375,2163.0,218.9969,,,,
48752,4325,3-methoxycatechol sulfate (2),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100006376,2200.0,218.9969,,,,
44618,196,3-methoxytyramine sulfate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,100004634,1722.0,246.0442,,,,
12017,194,3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,LC/MS Pos Early,1342,2555.0,212.0917,1670,300-48-1,,HMDB01434
46165,4292,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004112,2790.0,203.002,,,,
46164,4293,3-methyl catechol sulfate (2),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004110,2860.0,203.002,,,,
44526,376,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,100000936,911.0,115.0401,49,3715-29-5,C00141,HMDB00019
15676,352,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100000036,2064.2,129.0557,47,1460-34-0;51829-07-3,C00671,HMDB03736
36749,1565,3-methyladipate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Polar,100001765,2865.0,159.0663,12292,3058-01-03 00:00:00,,HMDB00555
35132,4059,3-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",LC/MS Pos Early,100001466,2176.0,258.1085,159649,21028-20-6,,
57747,328,3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,100002458,2700.0,99.0452,1551553,5746-90-7,,HMDB00522
46548,336,3-methylglutarylcarnitine (2),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,100005850,2687.0,290.1598,128145,,,HMDB00552
15677,69,3-methylhistidine,Amino Acid,Histidine Metabolism,LC/MS Neg,100000042,906.3,168.0779,64969,368-16-1,C01152,HMDB00479
32445,4378,3-methylxanthine,Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001108,1700.0,165.0418,70639,1076-22-8,C16357,HMDB01886
15749,4357,3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100000010,2860.0,149.0608,107,501-52-0,C05629,HMDB00764
1414,1148,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",LC/MS Pos Early,132,590.0,187.0002,724,80731-10-8,C00597,HMDB00807
3155,4045,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Pos Early,1053,875.0,133.0608,111,462-88-4,C02642,HMDB00026
43507,3350,3b-hydroxy-5-cholenoic acid,Lipid,Secondary Bile Acid Metabolism,LC/MS Neg,100004182,5205.0,373.2748,92997,5255-17-4,,HMDB00308
54805,3044,3beta-hydroxy-5-cholestenoate,Lipid,Sterol,LC/MS Neg,100006370,5398.0,415.3218,165511,6561-58-6,C17333,
57585,5766,4-acetamidobenzoate,Xenobiotics,Chemical,LC/MS Neg,100009413,1403.0,178.051,19266,556-08-1,D03836,
1558,507,4-acetamidobutanoate,Amino Acid,Polyamine Metabolism,LC/MS Pos Early,1113,1350.0,146.0812,18189,3025-96-5,C02946,HMDB03681
12032,5060,4-acetamidophenol,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,1383,2173.7,150.0561,1983,103-90-2,C06804,HMDB01859
15736,5063,4-acetamidophenylglucuronide,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,100000043,1400.0,326.0881,83944,120595-80-4,,HMDB10316
37475,5062,4-acetaminophen sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,2049,1792.0,230.0129,83939,10066-90-7;32113-41-0,C06804,HMDB59911
62798,4554,4-acetylcatechol sulfate (1),Xenobiotics,Food Component/Plant,LC/MS Neg,100020853,1774.0,230.9969,,,,
44620,4305,4-acetylphenyl sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100000711,2375.0,215.002,4684006,,,
63597,4296,4-allylcatechol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100020578,3571.0,229.0176,,,,
37181,4826,4-allylphenol sulfate,Xenobiotics,Food Component/Plant,LC/MS Neg,100001868,3805.0,213.0227,,,,
63988,5794,4-chlorobenzoic acid,Xenobiotics,Chemical,LC/MS Neg,100021784,3015.0,154.9905,,74-11-3,,
38125,3054,4-cholesten-3-one,Lipid,Sterol,LC/MS Pos Late,100002227,2520.0,385.3465,91477,601-57-0,C00599,HMDB00921
64042,4954,4-ethyl-2-methoxyphenol sulfate,Xenobiotics,Food Component/Plant,LC/MS Neg,100021686,3576.0,231.0333,,,,
63072,4294,4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100020536,3379.0,217.0176,,,,
36099,4309,4-ethylphenyl sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100001756,3580.0,201.0227,20822574,123-07-9,C13637,HMDB62551
15681,510,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,LC/MS Pos Early,100000096,2320.0,146.0924,500,463-003;463-00-3,C01035,HMDB03464
40062,1560,4-hydroxy-2-oxoglutaric acid,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Polar,100002537,3073.0,161.0092,599,1187-99-1,C01127,HMDB02070
48441,5744,4-hydroxychlorothalonil,Xenobiotics,Chemical,LC/MS Neg,100006082,4427.0,244.9082,34217,28343-61-5,,
48410,220,4-hydroxycinnamate sulfate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,100006095,1000.0,242.9969,6070438,376374-66-2,,
37445,5297,4-hydroxycoumarin,Xenobiotics,Drug - Cardiovascular,LC/MS Neg,100002049,2470.0,161.0244,54682930,1076-38-6,C20414,
40499,48,4-hydroxyglutamate,Amino Acid,Glutamate Metabolism,LC/MS Pos Early,100002544,1141.0,164.0554,439902,2485-33-8,C03079,HMDB01344
35527,4262,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100001423,1475.0,194.0459,151012,2482-25-9,,HMDB13678
541,152,4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,LC/MS Neg,144,1361.0,151.0401,127,156-38-7,C00642,HMDB00020
52932,170,4-hydroxyphenylacetatoylcarnitine,Amino Acid,Tyrosine Metabolism,LC/MS Pos Early,100006619,2730.0,296.1493,,,,
55017,1101,4-hydroxyphenylacetylglutamine,Peptide,Acetylated Peptides,LC/MS Neg,100010850,1650.0,279.0986,,,,
1669,166,4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,1141,1690.0,179.035,979,156-39-8,C01179,HMDB00707
32349,91,4-imidazoleacetate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,100001207,2055.0,127.0502,96215,645-65-8,C02835,HMDB02024
48457,183,4-methoxyphenol sulfate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,100006262,2412.0,203.002,,3233-60-1,,
22116,305,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100000551,2170.0,129.0557,70,816-66-0,C00233,HMDB00695
46146,4295,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004111,2665.0,203.002,,,,
48418,4290,4-methylguaiacol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100006105,2978.0,217.0176,,756760-43-7,,
62735,1678,4-methylhexanoylglutamine,Lipid,Fatty Acid Metabolism (Acyl Glutamine),LC/MS Neg,100020631,3390.0,257.1507,,,,
63612,1745,4-methylnonanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",LC/MS Pos Late,100021138,1055.0,316.2482,,,,
48442,4853,4-vinylguaiacol sulfate,Xenobiotics,Food Component/Plant,LC/MS Neg,100006126,3354.0,229.0176,,,,
36098,4311,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100001755,3320.0,199.0071,6426766,2628-17-3,C05627,HMDB62775
1418,4082,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",LC/MS Neg,158,1637.8,127.0513,93556,696-04-8,C00906,HMDB00079
1559,4038,"5,6-dihydrouracil",Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,1125,1120.0,113.0357,649,504-07-4,C00429,HMDB00076
61833,4029,"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,100001425,1119.0,245.0779,94312,5627-05-04 00:00:00,,
43582,113,5-(galactosylhydroxy)-L-lysine,Amino Acid,Lysine Metabolism,LC/MS Pos Early,100002462,2755.0,325.1606,123986,32448-36-5,,
34424,4380,5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism,LC/MS Polar,100001403,1710.0,197.068,88299,1196153-01-1,C16366,HMDB04400
34401,4381,5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism,LC/MS Polar,100001402,1424.0,225.0629,108214,85438-96-6,C16365,HMDB11105
33968,1403,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid,LC/MS Neg,100001232,5224.0,197.1547,5312378,2430-94-6,,HMDB00529
61769,1766,5-dodecenoylcarnitine (C12:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",LC/MS Pos Late,100016069,1135.0,342.2639,,,,HMDB13326
46297,1992,5-HEPE,Lipid,Eicosanoid,LC/MS Neg,100002135,5316.0,317.2122,6439678,83952-40-3,,HMDB05081
37372,1999,5-HETE,Lipid,Eicosanoid,LC/MS Neg,100002137,5382.0,319.2279,5280733,73307-52-5,C04805,HMDB11134
63230,5780,5-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100020973,2074.0,188.0023,,,,
31938,1870,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001148,1267.0,131.0714,170748,44843-89-2,,HMDB00525
52914,289,5-hydroxyindole sulfate,Amino Acid,Tryptophan Metabolism,LC/MS Neg,100009042,1928.0,212.0023,,,,
15685,112,5-hydroxylysine,Amino Acid,Lysine Metabolism,LC/MS Pos Early,100000054,2790.0,163.1077,1029,13204-98-3,C16741,HMDB00450
42040,210,5-hydroxymethyl-2-furoic acid,Amino Acid,Tyrosine Metabolism,LC/MS Neg,100003954,962.0,141.0193,80642,6338-41-6,C20448,HMDB02432
62871,4546,5-hydroxymethyl-2-furoylcarnitine*,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100021012,2471.0,286.1285,,,,
1419,503,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,LC/MS Pos Early,212,2752.0,298.0968,439176,2457-80-9,C00170,HMDB01173
62100,400,5-methylthioribose,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Pos Early,100002103,790.0,181.0529,494,23656-67-9,,HMDB01087
35136,4031,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,100001446,1778.1,257.0779,445408,1463-10-1,,HMDB00884
1494,526,5-oxoproline,Amino Acid,Glutathione Metabolism,LC/MS Neg,1021,738.5,128.0353,7405,98-79-3,C01879,HMDB00267
37183,3180,"5alpha-androstan-3alpha,17alpha-diol monosulfate",Lipid,Androgenic Steroids,LC/MS Neg,100002008,5208.0,371.1898,,,,
47132,3203,"5alpha-androstan-3alpha,17beta-diol 17-glucuronide",Lipid,Androgenic Steroids,LC/MS Neg,100005396,4930.0,467.265,,,,
37184,3202,"5alpha-androstan-3alpha,17beta-diol disulfate",Lipid,Androgenic Steroids,LC/MS Neg,100002017,4275.0,225.0697,,,,
37186,3200,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Lipid,Androgenic Steroids,LC/MS Neg,100002018,4925.0,371.1898,,,,
37185,3201,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids,LC/MS Neg,100006005,5080.0,371.1898,,,,
37187,3211,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Androgenic Steroids,LC/MS Neg,100002021,4215.0,225.0697,,,,
37190,3208,"5alpha-androstan-3beta,17beta-diol disulfate",Lipid,Androgenic Steroids,LC/MS Neg,100001987,3880.0,225.0697,242332,571-20-0,C12525,HMDB00493
37192,3207,"5alpha-androstan-3beta,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids,LC/MS Neg,100002024,4685.0,371.1898,,,,
37198,3114,"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid,Progestin Steroids,LC/MS Neg,100001988,3962.0,239.0853,,,,
37200,3108,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Lipid,Progestin Steroids,LC/MS Neg,100002014,5060.0,399.2211,,,,
37196,3105,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid,Progestin Steroids,LC/MS Neg,100002009,5180.0,399.2211,,,,
46172,3115,5alpha-pregnan-diol disulfate,Lipid,Progestin Steroids,LC/MS Neg,100002015,4310.0,239.0853,5127902,,,
62503,295,6-bromotryptophan,Amino Acid,Tryptophan Metabolism,LC/MS Neg,100020414,3565.0,280.9931,,,,
48698,5763,6-hydroxyindole sulfate,Xenobiotics,Chemical,LC/MS Neg,100006260,2498.0,212.0023,122198196,,,
43231,126,6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,LC/MS Neg,100004499,965.0,142.051,3014237,34622-39-4,,HMDB61705
36776,3041,7-HOCA,Lipid,Sterol,LC/MS Neg,100001609,5288.1,429.301,3081085,115538-85-7,C17337,HMDB12458
32442,1875,7-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001223,2232.7,159.1027,167627,17173-14-7,,HMDB00486
62972,5304,7-hydroxywarfarin,Xenobiotics,Drug - Cardiovascular,LC/MS Neg,100020813,3300.0,323.0925,,,,
35114,3994,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",LC/MS Pos Early,100001456,2175.0,166.0723,11361,578-76-7,C02242,HMDB00897
39598,4372,7-methylurate,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100002241,1321.0,183.0513,69160,612-37-3,C16355,HMDB11107
34390,4379,7-methylxanthine,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100001396,1350.0,167.0564,68374,552-62-5,C16353,HMDB01991
62955,261,8-methoxykynurenate,Amino Acid,Tryptophan Metabolism,LC/MS Neg,100020360,2863.0,218.0459,76230,2929-14-8,C05830,HMDB60426
38399,1906,"9,10-DiHOME",Lipid,"Fatty Acid, Dihydroxy",LC/MS Neg,179,5180.0,313.2384,9966640,263399-34-4,C14828,HMDB04704
47120,1877,9-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100005834,5384.0,299.2592,9570127,25498-28-6,,HMDB61661
48569,4781,acesulfame,Xenobiotics,Food Component/Plant,LC/MS Neg,100006203,1581.0,161.9867,36573,55589-62-3,,HMDB33585
33963,1815,acetoacetate,Lipid,Ketone Bodies,LC/MS Pos Early,1218,1062.0,103.039,96,3483-11-02 00:00:00,C00164,HMDB00060
32198,1729,acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",LC/MS Pos Early,100000802,2282.0,204.123,1,5080-50-2,C02571,HMDB00201
43258,498,acisoga,Amino Acid,Polyamine Metabolism,LC/MS Neg,100004541,2297.0,183.1139,129397,106692-36-8,,
46173,1346,aconitate [cis or trans],Energy,TCA Cycle,LC/MS Neg,100001359,580.0,173.0092,,,,
